location,followers,comments,coordinates,language,geometry,sentiment
Catalunya,224790,a retenció papiol i sant feliu accidentat camió talla,,ca,,0
,278,Seguid votando prusés idiotas!,,pt,,
"Catalunya, Arenys d Munt.",253,rt avui colau i exèrcit comuns polemitzant artificiosament twitter semblaria,,ca,,0
,1271,rt dijous obrirem excepcionalment el si vius fora volem,,ca,,0
South Africa,2359,😍😍,,und,,
Somewhere In The Ville ,96,rt barcelona football club paying respect real european cup titles sitting in laliga table,,en,,2
,49,rt wayne rooney barcelona team would,,en,,2
"Barcelona, España",140,rt ayúdanos difundir taller online ampliar voz luchando,,es,,0
,1888,rt imatges amb major nitidesa tiroteig sensesostre posen dubte,,ca,,2
"Barcelona, España",68,rt el dia surti tot passa port barcelona sèrie the wire quedarà com bob un guàrdia civil,,ca,,2
Egerton Njoro,393,rt champions league krasnodar sevilla rennes chelsea bvb club brugge,,en,,2
,649,què collons fem donant pistoles als els aquella gent sabut fer jove i,,ca,,0
Barcelona-Catalunya,18711,rt amb aquesta simulació fas colau podria ser alcaldessa ja necessita regidors colau,,ca,,0
Good place.,2324,RT @LouieDi13: No MESSI,,it,,
"Catalunya, Espanya",1462,rt difusion si puedes ayudar contacta con el tfno necesito transportar carrito quiero,,es,,0
"Catalonia, Spain",122178,universo valdano via griezzman gave interview valdano clarify latest information,,en,,2
.,569,i told u bebih,,in,,
,772,rt urbanisme amb perspectiva gènere per ciutat més amable amb persones,,ca,,0
,405,rt visto hace oposición ayuntamiento próxima vez presento alguna lista van,,es,,0
,0,viaje país vuelo dos panamá,,es,,2
Dansoman,156,rt imagine wayne rooney part barcelona team,,en,,2
Instagram - hltcopod,17915,hltco football podcast sociedad flying barcelona flopping unai emery wins doubters,,en,,2
,268,a odian madrid toda españa porq peste periodismo,,es,,0
300m buiten Delft,81,@JurrVanWessem Wat mij betreft zou het beter zijn dat Messi de club verlaat. En wat ie dan gaat doen is me om het e… https://t.co/5Kc3Xv8iJd,,nl,,
Madrid - Jaén,909,rt me barcelona momento pero barceloneses votaron psc esperaban,,es,,2
,653,rt la va intentar assassinar persona sense motius,,ca,,0
+62,365,"RT @panditfootball: 15 tahun lalu, para pendukung Real Madrid memberi standing ovation kepada Ronaldinho atas aksi gemilang dan torehan dua…",,in,,
,461,rennes vs chelsea dynamo kiev vs barcelona i freaking,,en,,2
Netherlands,26209,RT @_mtiemann: Laut Barcelonas Bürgermeisterin @AdaColau soll die spanische Stadt bis 2030 autofrei sein. Unvorstellbar in Deutschland? Ehe…,,de,,
Aranjuez,3471,rt cadena feminista violencias atraviesa varias calles,,es,,0
"Caldes de Montbui, PPCC",319,rt tirotejat per guàrdia urbà barcelona duia mà cabestrell i bossa penjada,,ca,,0
,13,rt el sevilla fc sumó valioso punto visita fc barcelona el córner sur,,es,,2
"Galicia, España",131,rt chica adorable mismo tiempo pareces tienes voz ojalá,,es,,2
World,476,rt difusion si puedes ayudar contacta con el tfno necesito transportar carrito quiero,,es,,0
,124,rt un día barcelona ciudad moderna hasta populismo hizo,,es,,1
,151,"RT @SiyahCorapIilar: - Altın madalyalı boksörü olan bir Barcelona göremezsiniz

- Rekortmen yüz metreci atleti olan bir Real Madrid'e rast…",,tr,,
"Bali,Spanje, Ascari,Nederlands",184,https://t.co/qo559gCLIV,,und,,
,95,pep guardiola Barcelona sı,,tr,,
,384,rt cosas peores morir accidente enfermedad irte poder,,es,,0
Onubense por el mundo,2887,rt ahora vete hacienda plantea,,es,,0
God's right hand.,6743,rt if barcelona want griezmann cut player says not happening even though fans think affects game,,en,,2
"Barcelona, Catalonia",12044,si vens dimarts diumenge podràs gaudir nostres exposicions,,ca,,1
Madrid,1028,a soñar anotar felicidad vía,,es,,0
"Barcelona, Catalunya",45,rt benvolguda les llengües comencen morir quan els seus parlants ets,,ca,,0
,75,rt wayne rooney barcelona team would,,en,,2
"Longyearbyen, islas Svalbard",83,rt,,en,,2
,76,rt wayne rooney barcelona team would,,en,,2
Sevilla. Rute. Granada. Padul ,2073,preciosa foto puerto,,es,,1
,969,rt imagine going school years learning things like common sense read write end,,en,,2
"Accra, Ghana",4487,rt if barcelona want griezmann cut player says not happening even though fans think affects game,,en,,2
,15,"RT @Kalebetturkiye: DINAMO KIEV 🟥 BARCELONA

Karşılaşmayı hangi takım kazanır ⚽️

‼️ @KalebetTurkiye'yi takip et
‼️ 5 Arkadaşın ile birlikt…",,tr,,
"Haryana, India",8176,rt hi thierry have brilliant new week family palau de la musica catalana,,en,,2
españa,8864,rt okupas nada detiene afán pero vamos liderar gran coalición,,es,,0
Calldetenes (Osona),798,rt imatges amb major nitidesa tiroteig sensesostre posen dubte,,ca,,2
,8054,rt un guàrdia civil blanqueja més robats port barcelona,,ca,,0
Spain,1507,rt todo josé,,es,,1
"Barcelona, Spain",1946,#GetTheTaycan,,und,,
error 404,767,RT @deckerspectre: https://t.co/5s34gOaZSh https://t.co/5ObfrXenbH,,und,,
"Sevilla, España",875,rt siempre puede ir allá camino hacia gilipollismo urbanismo género renovar zonas,,es,,2
"Chennai, India",2282,rt universo valdano via griezzman gave interview valdano clarify latest information griezmann,,en,,2
"Vila Nova de Gaia, Portugal",83,Vai fazer hat trick hoje,,pt,,
España,926,bonita quedando dentro todas motos desaparecerán,,es,,0
"Buenos Aires, Argentina",6757,probabilidad matemática salir,,es,,1
,588,rt en cas sensesostre tirotejat barcelona fins caigui qui peti qui i hi,,ca,,0
"Stockholm, Sverige",67,RT @SvenskaFans: La Setmana Blaugrana är tillbaka och ger er det senaste om Barcelona #FCBarcelona #Barça #LaLiga @RubbaBaron https://t.co/…,,sv,,
Entre Mallorca i Catalunya ,405,rt duia braç just abans fiqui darrera furgoneta veu clar màniga jaqueta lj,,ca,,0
barcelona,26,rt imatges amb major nitidesa tiroteig sensesostre posen dubte,,ca,,2
JAKARTA,17606,Penjelasan Antoine Griezmann Soal yang Sebenarnya Terjadi di Barcelona https://t.co/FtiSJfxrI5,,in,,
Sverige ,329,"@ClubSvezia Verkligen trångt på ert mittfält, känns inte så vår Hakan är en spelare som slår sig in där. Väldigt oj… https://t.co/p7Jkwn4HlG",,sv,,
Barcelona,3044,rt esteu temps fer vostres propostes,,ca,,2
Indonesia,1945,Penjelasan Antoine Griezmann Soal yang Sebenarnya Terjadi di Barcelona https://t.co/usCu0JTAiU,,in,,
Barcelona,924,"Week 10: Atleti are La Liga title favs (or at least thereabouts). Simeone still a genius, Félix is better than Grie… https://t.co/Rqng7ZV9q8",,ht,,
,315,👇💥👇💥👇,,und,,
"San Luis Obispo, CA",3143,this important solid looks evidence covid infection hospitalization rates age,,en,"[[[-120.708511, 35.595413], [-120.708511, 35.666664], [-120.640069, 35.666664], [-120.640069, 35.595413]]]",2
"Seattle, WA",7164,uw medicine postponing many surgeries scheduled next month make,,en,"[[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]]",2
"Arizona, USA",1561,well great legacy,,en,"[[[-178.443593, 18.86546], [-178.443593, 28.517269], [-154.755792, 28.517269], [-154.755792, 18.86546]]]",
AZ,687,hahahaha really think gonna take thanksgiving gtfo patrolling help,,en,"[[[-112.323914, 33.29026], [-112.323914, 33.815465], [-111.925439, 33.815465], [-111.925439, 33.29026]]]",2
tampico MX,1494,triste realidad presidente diciendo vamos bien,,es,"[[[-97.86013, 22.237664], [-97.86013, 22.328388], [-97.784943, 22.328388], [-97.784943, 22.237664]]]",0
"Jaipur, India",113,all money wasted covid tests regret using shopping dozens clothing,,en,"[[[75.497997, 26.800561], [75.497997, 27.018805], [75.997045, 27.018805], [75.997045, 26.800561]]]",2
,1596,we knew going get covid made,,en,"[[[-72.710598, 42.03108], [-72.710598, 42.102783], [-72.584948, 42.102783], [-72.584948, 42.03108]]]",2
Somewhere in Neverland,61,i probably love,,en,"[[[-122.498909, 45.460886], [-122.498909, 45.559395], [-122.367482, 45.559395], [-122.367482, 45.460886]]]",
"Sydney, Nova Scotia",67,the clear truth,,en,"[[[36.664573, -1.389053], [36.664573, -1.160674], [37.062667, -1.160674], [37.062667, -1.389053]]]",
"गुरसहायगंज, भारत",460,bring down positivity rate under increase pm modi to cms via,,en,"[[[81.806609, 26.542945], [81.806609, 26.835731], [82.479626, 26.835731], [82.479626, 26.542945]]]",1
Barcelona - Eivissa,550,quiero volver madrizzzz,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Livingston, NJ",1095,weak why say illegal cares act sue stop transfer,,en,"[[[-74.377326, 40.75774], [-74.377326, 40.818383], [-74.280592, 40.818383], [-74.280592, 40.75774]]]",0
"Guayaquil, Ecuador 🇪🇨 ",875,tierra mente vencer diestra siniestra lleva,,es,"[[[-80.467605, -3.063716], [-80.467605, -1.962274], [-79.714781, -1.962274], [-79.714781, -3.063716]]]",0
,766,great,,en,"[[[-112.93618, 49.620144], [-112.93618, 49.756615], [-112.756536, 49.756615], [-112.756536, 49.620144]]]",
"Barcelona, Cataluña",1988,many people perceive license pretend virus gone,,en,"[[[1.722105, 41.218715], [1.722105, 41.294696], [1.835002, 41.294696], [1.835002, 41.218715]]]",2
,265,middle managers real organistional absorbing,,en,"[[[-2.034105, 51.977226], [-2.034105, 53.616356], [0.357994, 53.616356], [0.357994, 51.977226]]]",2
,48,veeeennn,,es,"[[[-106.619116, 23.068553], [-106.619116, 23.867727], [-105.924379, 23.867727], [-105.924379, 23.068553]]]",2
Texas,185,so plan wait see many texans die wait vaccine the,,en,"[[[-95.823268, 29.522325], [-95.823268, 30.154665], [-95.069705, 30.154665], [-95.069705, 29.522325]]]",2
"Los Angeles, CA SAG/AFTRA ",63258,so thank your dad because fucking screwed only,,en,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",2
"Palau-solita i Plegamans, BCN",379,dos grandes peleadores,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,0,alienscreated,,en,"[[[-86.348441, 39.631677], [-86.348441, 39.927448], [-85.937404, 39.927448], [-85.937404, 39.631677]]]",2
,41,falso hipocrita,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Bali, Indonesia",265,issue able leave transit time short,,en,"[[[115.185377, -8.746756], [115.185377, -8.66518], [115.266902, -8.66518], [115.266902, -8.746756]]]",2
Vancouver,4727,brentwood elementary school burnaby sent alert today exposure happened,,en,"[[[-123.224215, 49.19854], [-123.224215, 49.316738], [-123.022947, 49.316738], [-123.022947, 49.19854]]]",2
"Crenshaw, Los Angeles",175,me pops,,en,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",2
,654,tampoc meu i meva familla i,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
Some Place Alone,19934,so sending sweet potato pies i gotta mask,,en,"[[[-97.848463, 31.014356], [-97.848463, 31.144257], [-97.659217, 31.144257], [-97.659217, 31.014356]]]",2
"San Diego, CA",1,lady assaulted gay man bc mask min sniffed colognes macys fashion,,en,"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",2
"Madrid, Comunidad de Madrid",2832,más profesionales continúan semana estudio seroprevalencia,,es,"[[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]",0
"Duri Riau Mandau, Indonesia",358,fix covid,,en,"[[[106.64701, -6.145006], [106.64701, -6.089734], [106.715088, -6.089734], [106.715088, -6.145006]]]",2
"Cleveland, OH",1471,i love woman xoxox,,en,"[[[-81.877771, 41.392684], [-81.877771, 41.599195], [-81.533163, 41.599195], [-81.533163, 41.392684]]]",1
"Barcelona, Catalunya",511,the,,en,"[[[1.360618, 41.192727], [1.360618, 42.323449], [2.77795, 42.323449], [2.77795, 41.192727]]]",2
Barcelona,86,ahir sense ser gran partit i tot i rival va veure altre tots corrien ningú tran,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
Puducherry,839,around fishermen families moved relief camps they provided masks,,en,"[[[79.599774, 11.774197], [79.599774, 12.033405], [79.843263, 12.033405], [79.843263, 11.774197]]]",2
"Seoul, Orange County, Mokupuni o Hawai‘i",1181,,,en,"[[[-157.950476, 21.254837], [-157.950476, 21.38505], [-157.648702, 21.38505], [-157.648702, 21.254837]]]",
Barcelona-Horta-Guinardó,1187,la diputada vasca beatriz favorita congreso nuevas generaciones pp vía,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"Cali Born & Raised, In Houston",738,those dont want wear get think my heart goes,,en,"[[[-95.823268, 29.522325], [-95.823268, 30.154665], [-95.069705, 30.154665], [-95.069705, 29.522325]]]",2
"Manchester , UK",2292,fitted face masks designed struggle,,en,"[[[-2.137411, 53.405243], [-2.137411, 53.435286], [-2.060325, 53.435286], [-2.060325, 53.405243]]]",2
Barcelona-Horta-Guinardó,1187,la diputada vasca beatriz favorita congreso nuevas generaciones,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
"darlo, sydney... GADIGAL LAND",4198,vicious voices scapegoated multiculturalism source covid wink nod,,en,"[[[150.520929, -34.118347], [150.520929, -33.578141], [151.343021, -33.578141], [151.343021, -34.118347]]]",2
"Munich, Bavaria",2280,remember happened last time ended eating charger cable,,en,"[[[11.360589, 48.061634], [11.360589, 48.248124], [11.722918, 48.248124], [11.722918, 48.061634]]]",2
Catalunya,184,tant camp grassot i gracia barcelona,POINT (2.16672453 41.40468875),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Portland, OR",2062,barbara i covid i beat see biden nomination jill dance,,en,"[[[-122.790065, 45.421863], [-122.790065, 45.650941], [-122.471751, 45.650941], [-122.471751, 45.421863]]]",2
Madrid,19623,madre zapatero si sacan huesos aceituna lamebotas das,,es,"[[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]",0
Veracruz.,866,,,es,"[[[-96.150405, 19.054575], [-96.150405, 19.231626], [-96.047576, 19.231626], [-96.047576, 19.054575]]]",0
"Barcelona, España",64,noticia tan buena gestión empresarial,,es,"[[[2.086323, 41.336062], [2.086323, 41.380548], [2.137433, 41.380548], [2.137433, 41.336062]]]",0
"Barcelona, Catalunya, España",4100,por,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
widnes,4271,on behalf millions died early bastard,,en,"[[[-2.784107, 53.341503], [-2.784107, 53.395284], [-2.697338, 53.395284], [-2.697338, 53.341503]]]",0
"Barcelona, Spain",32,very but,,en,"[[[2.057436, 41.276561], [2.057436, 41.348499], [2.146839, 41.348499], [2.146839, 41.276561]]]",2
,274,this for birthday thomas gave necklace hearts told like,,en,"[[[2.14799, 48.847674], [2.14799, 48.896051], [2.213262, 48.896051], [2.213262, 48.847674]]]",2
"Islamabad, Pakistan",140,covid took another member stay safe,,en,"[[[70.062759, 31.218052], [70.062759, 36.907585], [74.134729, 36.907585], [74.134729, 31.218052]]]",2
Les Franqueses del Vallès,437,avui tenim mercat per prevenir rebrots mascareta i,,ca,"[[[2.276032, 41.607439], [2.276032, 41.685635], [2.349322, 41.685635], [2.349322, 41.607439]]]",0
"54.97646,-1.602538",456,thanks cause i stand i truly appreciate organsations cool kind like,,en,"[[[-1.693792, 54.960055], [-1.693792, 55.024056], [-1.596931, 55.024056], [-1.596931, 54.960055]]]",1
"York, PA",8229,ur destroying lives many children u disgraceful piece how u live ur,,en,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",2
"Salt Lake City, UT",1105,just like cover songs higher covid numbers,,en,"[[[-111.928394, 40.686417], [-111.928394, 40.725919], [-111.871215, 40.725919], [-111.871215, 40.686417]]]",2
Brussels,12002,climate hits new record despite lockdowns,,en,"[[[5.974847, 50.662144], [5.974847, 50.85723], [6.218106, 50.85723], [6.218106, 50.662144]]]",2
"Champaign, IL",2405,he release taxes many the worse thing done,,en,"[[[-88.333161, 40.054674], [-88.333161, 40.160295], [-88.225277, 40.160295], [-88.225277, 40.054674]]]",2
Mumbai India,1331,purchase good quality face,,en,"[[[81.092702, 20.772981], [81.092702, 21.543301], [81.624789, 21.543301], [81.624789, 20.772981]]]",2
,1632,siguiendo negre abascal sueltas contradices,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,10,jo vaig flipar i disfrutar peti molt algun moment crack,,ca,"[[[2.206149, 41.408955], [2.206149, 41.434844], [2.238532, 41.434844], [2.238532, 41.408955]]]",0
"Berlin, MD",184,holy and wonder kept control need national mask mandate,,en,"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",2
"Kansas City, MO",423,they said got covid nails,,en,"[[[-94.733122, 38.868002], [-94.733122, 39.332095], [-94.385441, 39.332095], [-94.385441, 38.868002]]]",2
"Badalona, URSS",12465,go,,en,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",2
My fortress-like compound,5085,in hyperbaric definitely buying,,en,"[[[-124.482003, 32.528832], [-124.482003, 42.009519], [-114.131212, 42.009519], [-114.131212, 32.528832]]]",2
"Hendersonville, TN",23543,so sad we need retrain police force use lethal force last,,en,"[[[-86.674887, 36.248263], [-86.674887, 36.366587], [-86.495313, 36.366587], [-86.495313, 36.248263]]]",2
"South Carolina, USA",41,my mom dad paid much us go polar express year i seen pictures santa face,,en,"[[[-83.353955, 32.04683], [-83.353955, 35.215449], [-78.499301, 35.215449], [-78.499301, 32.04683]]]",2
"Reno, Nevada",1788,update,,en,"[[[-119.953849, 39.350749], [-119.953849, 39.674123], [-119.700515, 39.674123], [-119.700515, 39.350749]]]",2
,973,nombre altre nombre hi infinites possibilitats mai veurem els càlculs són,,ca,"[[[2.187074, 41.433463], [2.187074, 41.47346], [2.222536, 41.47346], [2.222536, 41.433463]]]",0
"London, United Kingdom",138031,confirmed coronavirus cases increase,POINT (-0.12485951 51.50538967),en,"[[[-0.187894, 51.483718], [-0.187894, 51.516466], [-0.109978, 51.516466], [-0.109978, 51.483718]]]",2
"Barcelona, Espanya",445,km superfície,POINT (2.183333 41.383333),ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Los Angeles, California",33,people likely come closer contact family might,,en,"[[[-118.250227, 33.732905], [-118.250227, 33.885438], [-118.063194, 33.885438], [-118.063194, 33.732905]]]",2
Madrid | Barcelona (Spain),54,hoy sala a personalización relación cliente nuevo reto,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",1
"Tampa, FL",254261,última hora coronavirus madrid plantea ampliar reuniones personas navidad,,es,"[[[-87.634643, 24.396308], [-87.634643, 31.001056], [-79.974307, 31.001056], [-79.974307, 24.396308]]]",1
"Los Angeles, CA",1463,back home city actually lockdown upset dispensaries closed,,en,"[[[-118.317804, 33.916377], [-118.317804, 33.931268], [-118.291514, 33.931268], [-118.291514, 33.916377]]]",2
"Barcelona, Spain",1694,bichota mood,,es,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
,44,i sick people claim rights refuse wear mask,,en,"[[[-81.046876, 35.001706], [-81.046876, 35.416412], [-80.646695, 35.416412], [-80.646695, 35.001706]]]",2
Stinky Boot,167,this even joke,,en,"[[[-72.88753, 41.396625], [-72.88753, 41.516538], [-72.746075, 41.516538], [-72.746075, 41.396625]]]",
"San Diego, CA",1,lady assaulted gay man bc mask min sniffed colognes macys,,en,"[[[-117.282538, 32.53962], [-117.282538, 33.080404], [-116.92744, 33.080404], [-116.92744, 32.53962]]]",2
"Berruguete, 126 - BARCELONA",714,alimara conecta hasta participantes virtuales asistentes,,es,"[[[2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939], [2.14736, 41.433939]]]",0
"Sants, Barcelona, Catalunya ",1336,,,ca,"[[[2.052477, 41.317048], [2.052477, 41.468266], [2.229978, 41.468266], [2.229978, 41.317048]]]",0
"Branford, CT",922,more restaurants closed since beginning connecticut restaurant,,en,"[[[-72.864342, 41.248445], [-72.864342, 41.324367], [-72.731485, 41.324367], [-72.731485, 41.248445]]]",2
Paraguay,138,cierto,,es,"[[[-57.81535, -25.984291], [-57.81535, -25.108891], [-57.155006, -25.108891], [-57.155006, -25.984291]]]",0
